Date,Open,High,Low,Close,Adj Close,Volume,ma_4w,ma_16w,ma_52w,roll_mean_10,roll_mean_75,vol_shock,vol_shock_dir,price_shock,price_shock_dir,black_swan,price_no_vol,symbol
2015-01-01,1206.2194902721044,1207.2386324194704,1204.9718189413152,1205.6143758117112,1205.6143758117112,1290293,1205.6143758117112,1205.6143758117112,1205.6143758117112,1205.6143758117112,1205.6143758117112,0,0,0,0,0,0,INFY
2015-01-02,1203.3106790044935,1205.7179245056489,1201.08011681101,1203.0839396708627,1203.0839396708627,4411784,1204.349157741287,1204.349157741287,1204.349157741287,1204.349157741287,1204.349157741287,1,1,0,0,0,0,INFY
2015-01-05,1199.4686983637034,1202.8054008287877,1198.17293927192,1199.93480334193,1199.93480334193,2704754,1202.8777062748347,1202.8777062748347,1202.8777062748347,1202.8777062748347,1202.8777062748347,1,0,0,0,0,0,INFY
2015-01-06,1201.7501995792877,1202.0422804793711,1200.877212207797,1200.9806384653136,1200.9806384653136,2206287,1202.4034393224545,1202.4034393224545,1202.4034393224545,1202.4034393224545,1202.4034393224545,1,0,0,1,0,0,INFY
2015-01-07,1195.1097505076532,1196.932276807411,1192.0859012790004,1194.7690159823176,1194.7690159823176,2285593,1200.8765546544269,1200.8765546544269,1200.8765546544269,1200.8765546544269,1200.8765546544269,0,1,0,0,0,0,INFY
2015-01-08,1193.4008890346795,1194.8853753535593,1191.5824257077693,1193.4687416249817,1193.4687416249817,3532626,1199.6419191495195,1199.6419191495195,1199.6419191495195,1199.6419191495195,1199.6419191495195,1,1,0,0,0,0,INFY
2015-01-09,1183.1595372262686,1184.5897721241722,1182.3182222717817,1184.281845828728,1184.281845828728,1347360,1197.4476229608351,1197.4476229608351,1197.4476229608351,1197.4476229608351,1197.4476229608351,1,0,0,0,0,0,INFY
2015-01-12,1182.233566176165,1183.4873426095742,1181.164714594105,1183.377189593257,1183.377189593257,1674803,1195.6888187898878,1195.6888187898878,1195.6888187898878,1195.6888187898878,1195.6888187898878,1,1,0,0,0,0,INFY
2015-01-13,1179.4021297981126,1182.5242303188982,1179.34729740164,1179.2436570064117,1179.2436570064117,3579734,1193.8615785917236,1193.8615785917236,1193.8615785917236,1193.8615785917236,1193.8615785917236,1,1,0,0,0,0,INFY
2015-01-14,1185.050370313075,1188.180859850071,1183.3682259903435,1184.7432575629844,1184.7432575629844,1541321,1192.9497464888498,1192.9497464888498,1192.9497464888498,1192.9497464888498,1192.9497464888498,1,0,0,1,0,0,INFY
2015-01-15,1183.8957297617364,1185.2524978414842,1178.602617018884,1183.9053791119568,1183.9053791119568,2128233,1192.1275312727687,1192.1275312727687,1192.1275312727687,1190.7788468188744,1192.1275312727687,1,1,0,0,0,0,INFY
2015-01-16,1180.5918233642374,1182.6439216843792,1176.3744535487235,1181.5148934993942,1181.5148934993942,4801531,1191.243144791654,1191.243144791654,1191.243144791654,1188.6219422017275,1191.243144791654,1,1,0,0,0,0,INFY
2015-01-19,1185.4402461000743,1186.2783281534698,1185.4220981264723,1185.9118407895585,1185.9118407895585,4284193,1190.8330444838007,1190.8330444838007,1190.8330444838007,1187.2196459464903,1190.8330444838007,1,0,0,1,0,0,INFY
2015-01-20,1178.056347082632,1182.619876612922,1177.5060700705408,1179.3544439368854,1179.3544439368854,2152355,1190.0131444447354,1190.0131444447354,1190.0131444447354,1185.0570264936475,1190.0131444447354,1,0,0,0,0,0,INFY
2015-01-21,1179.943283937148,1180.446087203184,1179.5678942924349,1178.346469976423,1178.346469976423,1541637,1189.2353661468478,1189.2353661468478,1189.2353661468478,1183.414771893058,1189.2353661468478,1,0,0,0,0,0,INFY
2015-01-22,1176.470733589386,1176.525586760664,1174.3394106985918,1178.733456778174,1178.733456778174,3284979,1188.5789968113056,1188.5789968113056,1188.5789968113056,1181.9412434083774,1188.5789968113056,1,1,0,1,0,0,INFY
2015-01-23,1179.6390854370543,1180.2926682324112,1177.9017888664316,1178.6570785996723,1178.6570785996723,1728694,1187.9953545635626,1187.9953545635626,1187.9953545635626,1181.3787666854716,1187.9953545635626,1,0,0,0,0,0,INFY
2015-01-26,1183.0731964287804,1184.81744044854,1181.631233724485,1182.259151983126,1182.259151983126,3995545,1187.676676642427,1187.676676642427,1187.676676642427,1181.2669629244585,1187.676676642427,1,1,0,1,0,0,INFY
2015-01-27,1178.0209477531644,1179.081222456076,1173.5848620484442,1177.399786180571,1177.399786180571,4130857,1187.1357876707505,1187.1357876707505,1187.1357876707505,1181.0825758418746,1187.1357876707505,0,1,0,0,0,0,INFY
2015-01-28,1167.5706419152432,1169.5246271654669,1164.1981647491266,1167.7806862442792,1167.7806862442792,4898045,1186.168032599427,1186.168032599427,1186.168032599427,1179.386318710004,1186.168032599427,1,1,0,0,0,0,INFY
2015-01-29,1165.2077165119915,1165.2335648788394,1161.7463091907896,1164.448329876125,1164.448329876125,4476345,1184.1097303026477,1185.1337610411745,1185.1337610411745,1177.440613786421,1185.1337610411745,0,0,0,0,0,0,INFY
2015-01-30,1162.6468917831205,1163.3044089419675,1161.7164111665356,1161.853510894716,1161.853510894716,4686816,1182.0482088638405,1184.0755678526991,1184.0755678526991,1175.474475525953,1184.0755678526991,0,1,0,0,0,0,INFY
2015-02-02,1161.5794940674248,1163.5344373879311,1159.160239492528,1160.891625359072,1160.891625359072,2041996,1180.0960499646976,1183.0675703529762,1183.0675703529762,1172.9724539829044,1183.0675703529762,1,0,0,0,0,0,INFY
