Date,Open,High,Low,Close,Adj Close,Volume,ma_4w,ma_16w,ma_52w,roll_mean_10,roll_mean_75,vol_shock,vol_shock_dir,price_shock,price_shock_dir,black_swan,price_no_vol,symbol
2015-01-01,8998.70555759757,8999.091419283883,8998.392268483429,8999.145999004693,8999.145999004693,1686388,8999.145999004693,8999.145999004693,8999.145999004693,8999.145999004693,8999.145999004693,0,0,0,0,0,0,NIFTYIT
2015-01-02,8997.18433539774,8998.081314548423,8995.353302365324,8996.314319495152,8996.314319495152,4563530,8997.730159249923,8997.730159249923,8997.730159249923,8997.730159249923,8997.730159249923,1,1,0,0,0,0,NIFTYIT
2015-01-05,8986.41819543761,8986.61034089235,8985.993796351468,8986.211793626377,8986.211793626377,4169536,8993.890704042075,8993.890704042075,8993.890704042075,8993.890704042075,8993.890704042075,0,0,0,0,0,0,NIFTYIT
2015-01-06,8988.89088326864,8989.439807740175,8988.06775808249,8989.414353648928,8989.414353648928,1589347,8992.771616443788,8992.771616443788,8992.771616443788,8992.771616443788,8992.771616443788,1,0,0,1,0,0,NIFTYIT
2015-01-07,8993.092519853424,8996.464465694786,8992.407707497096,8994.12586213341,8994.12586213341,3807456,8993.042465581711,8993.042465581711,8993.042465581711,8993.042465581711,8993.042465581711,1,1,0,1,0,0,NIFTYIT
2015-01-08,8991.030143286021,8991.353491106856,8988.10916515905,8991.171999845023,8991.171999845023,1789570,8992.730721292262,8992.730721292262,8992.730721292262,8992.730721292262,8992.730721292262,1,0,0,0,0,0,NIFTYIT
2015-01-09,8988.19307165408,8989.61786899559,8985.647233442394,8988.363026652345,8988.363026652345,3474628,8992.106764915132,8992.106764915132,8992.106764915132,8992.106764915132,8992.106764915132,1,1,0,0,0,0,NIFTYIT
2015-01-12,8983.625817279242,8986.573279555398,8981.652952225644,8984.13635127877,8984.13635127877,1358570,8991.110463210587,8991.110463210587,8991.110463210587,8991.110463210587,8991.110463210587,1,0,0,0,0,0,NIFTYIT
2015-01-13,8987.487274494557,8987.666300917563,8984.8718664999,8985.625434147956,8985.625434147956,3475958,8990.50101553696,8990.50101553696,8990.50101553696,8990.50101553696,8990.50101553696,1,1,0,1,0,0,NIFTYIT
2015-01-14,8986.54712195186,8989.004912576773,8983.855968462309,8986.942570058325,8986.942570058325,3767542,8990.145170989097,8990.145170989097,8990.145170989097,8990.145170989097,8990.145170989097,0,1,0,1,0,0,NIFTYIT
2015-01-15,8992.695739952242,8994.802565099011,8992.045332173702,8991.95999246367,8991.95999246367,3291721,8990.310154759512,8990.310154759512,8990.310154759512,8989.426570334996,8990.310154759512,1,0,0,1,0,0,NIFTYIT
2015-01-16,8995.795917843045,8998.793242144498,8993.909273279873,8994.620148127666,8994.620148127666,3134410,8990.669320873525,8990.669320873525,8990.669320873525,8989.257153198247,8990.669320873525,0,0,0,1,0,0,NIFTYIT
2015-01-19,8996.059488691653,8996.612300967969,8991.75439960343,8996.063006379864,8996.063006379864,3726612,8991.08421975863,8991.08421975863,8991.08421975863,8990.242274473596,8991.08421975863,1,1,0,1,0,0,NIFTYIT
2015-01-20,9000.035118934662,9001.354237991814,8997.169165500605,9001.876531587113,9001.876531587113,2833366,8991.855099174949,8991.855099174949,8991.855099174949,8991.488492267414,8991.855099174949,1,0,0,1,0,0,NIFTYIT
2015-01-21,8994.121051811066,8996.160951641747,8992.014988738041,8993.915455636032,8993.915455636032,3249046,8991.992456272355,8991.992456272355,8991.992456272355,8991.467451617676,8991.992456272355,1,1,0,0,0,0,NIFTYIT
2015-01-22,8996.932857995234,8997.342069632643,8995.478720962874,8995.340564891341,8995.340564891341,3618830,8992.201713061042,8992.201713061042,8992.201713061042,8991.884308122308,8992.201713061042,1,1,0,1,0,0,NIFTYIT
2015-01-23,9003.82529590299,9005.047951574694,9001.73714881275,9002.505730675408,9002.505730675408,1769166,8992.80783174424,8992.80783174424,8992.80783174424,8993.298578524615,8992.80783174424,1,0,0,1,0,0,NIFTYIT
2015-01-26,8996.060060320913,9000.76302617651,8994.770746539141,8996.258037194684,8996.258037194684,1771845,8992.99950982482,8992.99950982482,8992.99950982482,8994.510747116206,8992.99950982482,0,1,0,0,0,0,NIFTYIT
2015-01-27,8995.468893772966,8997.28992094776,8993.630346316539,8996.222774928476,8996.222774928476,3242452,8993.16915535659,8993.16915535659,8993.16915535659,8995.57048119426,8993.16915535659,1,1,0,0,0,0,NIFTYIT
2015-01-28,8991.68537781802,8992.640998476532,8988.660297082317,8991.306777869037,8991.306777869037,3174775,8993.076036482214,8993.076036482214,8993.076036482214,8996.006901975328,8993.076036482214,0,0,0,0,0,0,NIFTYIT
2015-01-29,8988.531214062894,8989.350025576072,8987.449810863958,8988.89181155973,8988.89181155973,2893844,8992.563327109965,8992.87678767638,8992.87678767638,8995.700083884936,8992.87678767638,0,0,0,0,0,0,NIFTYIT
2015-01-30,9001.229595856437,9003.869091515811,9000.304196193016,9001.550768076817,9001.550768076817,4465119,8992.825149539047,8993.271059512765,8993.271059512765,8996.39314587985,8993.271059512765,1,1,0,1,0,0,NIFTYIT
2015-02-02,9007.73431844667,9008.733187913796,9004.3720380812,9006.894413082478,9006.894413082478,2323083,8993.859280511853,8993.863379233186,8993.863379233186,8997.47628655011,8993.863379233186,1,0,0,1,0,0,NIFTYIT
2015-02-03,8999.036506102635,9000.887451517056,8998.863138710964,8999.164165706161,8999.164165706161,4026308,8994.346771114715,8994.084245336227,8994.084245336227,8997.205049962016,8994.084245336227,1,1,0,0,0,0,NIFTYIT
