Date,Open,High,Low,Close,Adj Close,Volume,ma_4w,ma_16w,ma_52w,roll_mean_10,roll_mean_75,vol_shock,vol_shock_dir,price_shock,price_shock_dir,black_swan,price_no_vol,symbol
2015-01-01,2608.6563215910214,2609.2571131768505,2605.8735306777858,2607.9594515145704,2607.9594515145704,3150185,2607.9594515145704,2607.9594515145704,2607.9594515145704,2607.9594515145704,2607.9594515145704,0,0,0,0,0,0,TCS
2015-01-02,2601.9749703333946,2604.307063362221,2601.0943356855705,2603.7592244535285,2603.7592244535285,1167146,2605.8593379840495,2605.8593379840495,2605.8593379840495,2605.8593379840495,2605.8593379840495,1,0,0,0,0,0,TCS
2015-01-05,2601.7914443451964,2602.3897083393385,2600.8824275502006,2601.3698000617264,2601.3698000617264,1883925,2604.362825343275,2604.362825343275,2604.362825343275,2604.362825343275,2604.362825343275,1,1,0,0,0,0,TCS
2015-01-06,2605.8855516981657,2606.960457839785,2605.554491806018,2605.521842079773,2605.521842079773,1116292,2604.6525795273997,2604.6525795273997,2604.6525795273997,2604.6525795273997,2604.6525795273997,1,0,0,1,0,0,TCS
2015-01-07,2598.3192829976847,2599.4293449662155,2595.332024011424,2598.6701506909703,2598.6701506909703,1693305,2603.4560937601136,2603.4560937601136,2603.4560937601136,2603.4560937601136,2603.4560937601136,1,1,0,0,0,0,TCS
2015-01-08,2591.259262636101,2591.5291127575383,2590.05790379995,2591.872632215302,2591.872632215302,3819707,2601.5255168359786,2601.5255168359786,2601.5255168359786,2601.5255168359786,2601.5255168359786,1,1,0,0,0,0,TCS
2015-01-09,2589.7178947515886,2590.738525963117,2588.827248952828,2589.592037328034,2589.592037328034,4065649,2599.820734049129,2599.820734049129,2599.820734049129,2599.820734049129,2599.820734049129,0,1,0,0,0,0,TCS
2015-01-12,2597.627484243298,2598.6010591838194,2596.965539145448,2598.1177954513687,2598.1177954513687,3728986,2599.607866724409,2599.607866724409,2599.607866724409,2599.607866724409,2599.607866724409,0,0,0,1,0,0,TCS
2015-01-13,2596.0162551307963,2596.4290300805437,2592.507905703346,2595.2094069394816,2595.2094069394816,4544314,2599.1191489705284,2599.1191489705284,2599.1191489705284,2599.1191489705284,2599.1191489705284,1,1,0,0,0,0,TCS
2015-01-14,2592.592006739271,2593.172941585401,2589.890737170909,2593.017473686973,2593.017473686973,4563886,2598.5089814421726,2598.5089814421726,2598.5089814421726,2598.5089814421726,2598.5089814421726,0,1,0,0,0,0,TCS
2015-01-15,2587.2644771770406,2588.83082638606,2585.902205402619,2587.9112594322555,2587.9112594322555,2738141,2597.545552168544,2597.545552168544,2597.545552168544,2596.5041622339413,2597.545552168544,1,0,0,0,0,0,TCS
